,vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
465,bPnWdfTou,taco niggers,An Hispanic person,,True,,,eng,taco nigger,,,False,True,False,False,False,False,False,4,2,0,2018-11-01 20:38:38,2018-11-01 20:38:38
466,LPsfBHZyM,Taffys,"A Welsh person. First used ca. 17th century. From the River Taff or the Welsh pronunciation of the name David (in Welsh, Dafydd). Children's rhyme: 'Taffy was a Welshman, Taffy was a thief'. Generally considered offensive when used by an English person.",[1] A person's name [2] A type of candy,False,,,eng,Taffy,,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:38,2018-11-01 20:38:38
467,xJ3xzxRqa,tans,"A British person, derived from the Black and Tans, the nickname for an auxiliary British Army unit deployed to Ireland in the 1920s and which gained a reputation for brutality.",[1] A color [2] A suntan,False,,75.0,eng,tan,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:38:38,2018-11-01 20:38:38
468,FWDGGUctK,tar babies,A black child.,,True,,,eng,tar baby,,,False,True,False,False,False,False,False,366,218,0,2018-11-01 20:38:38,2018-11-01 20:38:38
469,bXMvRDrrN,squinties,"A person of East Asian descent in reference to the appearance of the eyes, similar to 'slant'.",,False,,,eng,squinty,,,False,True,False,False,False,False,False,7,6,0,2018-11-01 20:38:37,2018-11-01 20:38:37
470,Q4nAYyFTK,steeks,"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",,False,,,eng,steek,,,False,False,False,False,False,False,True,22,9,0,2018-11-01 20:38:37,2018-11-01 20:38:37
471,C4snjNot4,stovepipes,A black person.,,False,,,eng,stovepipe,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:37,2018-11-01 20:38:37
472,y6fxUas7r,stump jumpers,"Used by poor rural people to denote those of lower status than themselves, particularly those who commit incest (jumping the family tree).",,True,,,eng,stump jumper,,,False,False,False,False,False,False,True,80,37,0,2018-11-01 20:38:37,2018-11-01 20:38:37
473,BKYLUqQEF,spivs,"In the UK, a criminal dealing in counterfeit and/or stolen goods",,False,,13.0,eng,spiv,,,False,False,False,False,False,False,True,492,191,0,2018-11-01 20:38:36,2018-11-01 20:38:36
474,TbcMZtVGr,spooks,"A black person, originating from the 1940s.",[1] To scare [2] A spy,False,,,eng,spook,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:36,2018-11-01 20:38:36
475,s4PUNJETQ,squareheads,"[1] A person of German, Dutch, or Scandinavian, esp. Swedish, origin. [2] A Caucasian person, especially a German. Refers to either the stereotyped shape of their heads, or to the shape of the Stalhelm M1916 steel helmet, or to its owner's stubbornness (like a block of wood).",,False,,,eng,squarehead,,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:36,2018-11-01 20:38:36
476,yAKKcXBiz,squaws,"A female Native American. Derived from lower East Coast Algonquian (Massachuset: ussqua), which originally meant 'young woman', but which took on strong negative connotations in the late 20th century.",,False,,100.0,eng,squaw,,,False,True,False,False,False,False,False,268,126,0,2018-11-01 20:38:36,2018-11-01 20:38:36
477,pwhe4Loqx,spiggotties,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,True,,,eng,spigotty,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:35,2018-11-01 20:38:35
478,bfse8pCbj,spigs,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,False,,,eng,spig,,,False,True,False,False,False,False,False,9,4,0,2018-11-01 20:38:35,2018-11-01 20:38:35
479,zrHzAaHXZ,spikes,A very High Church Anglican or Anglo-Catholic.,A large nail,False,,,eng,spike,,,False,False,True,False,False,False,False,0,0,0,2018-11-01 20:38:35,2018-11-01 20:38:35
480,BpveHQHyC,spiks,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,False,,,eng,spik,,,False,True,False,False,False,False,False,60,30,0,2018-11-01 20:38:35,2018-11-01 20:38:35
481,WdLkoEubk,spicspeak,The Spanish language,,True,,100.0,eng,,spic,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:34,2018-11-01 20:38:34
482,YsmctcQnz,spides,"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",,False,,,eng,spide,,,False,False,False,False,False,False,True,77,37,0,2018-11-01 20:38:34,2018-11-01 20:38:34
483,Lbwq9fsvR,spiggers,A person of mixed Hispanic and black parentage.,,True,,,eng,spigger,,,False,True,False,False,False,False,False,16,11,0,2018-11-01 20:38:34,2018-11-01 20:38:34
484,gZsoZPhxL,spickish,Adjective for the nature of 'spic',,True,,91.0,eng,,spick,,False,True,False,False,False,False,False,1,1,0,2018-11-01 20:38:33,2018-11-01 20:38:33
485,XxyNieXqR,spiclet,The diminuitive of 'spic',,True,,75.0,eng,,spic,,False,True,False,False,False,False,False,2,1,0,2018-11-01 20:38:33,2018-11-01 20:38:33
486,YPQLZ7eiu,spics,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,False,,75.0,eng,spic,,,False,True,False,False,False,False,False,603,300,0,2018-11-01 20:38:33,2018-11-01 20:38:33
487,cRECvkMPL,spicish,Alternative spelling for adjective for the nature of 'spic',,True,,99.0,eng,,spic,,False,True,False,False,False,False,False,9,4,0,2018-11-01 20:38:32,2018-11-01 20:38:32
488,LW8MoCHom,spickaboos,A person of mixed Hispanic and black parentage.,,True,,,eng,spickaboo,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:32,2018-11-01 20:38:32
489,UUnHLwZXu,spades,"A black person, originating with the suit in a deck of cards.",Shovel,False,,,eng,spade,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:57,2018-11-01 20:36:57
490,yYbvmedYn,spear chuckers,"A term used for an African American, or other person of African descent.",,True,,,eng,spear chucker,,,False,True,False,False,False,False,False,303,184,0,2018-11-01 20:36:57,2018-11-01 20:36:57
491,PjXhdwjvU,spergs,Pejorative term for one who suffers from Asperger syndrome.,,False,,1.0,eng,sperg,,,False,False,False,False,False,True,False,447,221,0,2018-11-01 20:36:57,2018-11-01 20:36:57
492,FfWFkqEoi,spice niggers,A black person.,,True,,100.0,eng,spice nigger,,,False,True,False,False,False,False,False,5,4,0,2018-11-01 20:36:57,2018-11-01 20:36:57
493,WnRFHPfhD,snowflakes,"[1] Civil war term for an educated (white collar) black person. [2] A person of Jewish descent, from the ashes in the vicinity of concentration camps.",Ice crystal,False,,,eng,snowflake,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:56,2018-11-01 20:36:56
494,qytuUnvAv,soles,A person of Samoan descent.,[1] A type of fish [2] Single,False,,,eng,sole,,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:56,2018-11-01 20:36:56
495,mKqgQBJPp,sooties,"A black person, originated in the US in the 1950s.",,False,,,eng,sooty,,,False,True,False,False,False,False,False,84,81,0,2018-11-01 20:36:56,2018-11-01 20:36:56
496,nXkmKhxeA,soup takers,"A person who has sold out their beliefs, referring to the Irish Potato famine when some Catholics converted to a Protestant faith in order to gain access to a free meal.",,False,,,eng,soup taker ,,,True,False,True,False,False,False,False,87,41,0,2018-11-01 20:36:56,2018-11-01 20:36:56
497,p4CDpRwCA,Southern fairies,"Used in the north of England, the term originates from the inability of southern Englishmen being unable to consume amounts of alcohol over 2 units at any one period. ",,False,,,eng,Southern fairy,,,False,False,False,False,False,False,False,141,80,0,2018-11-01 20:36:56,2018-11-01 20:36:56
498,ZbyMopdok,smoke jumpers,A Caucasian woman who dates a black man.,,True,,,eng,smoke jumper,,,False,True,False,False,False,False,False,393,207,0,2018-11-01 20:36:55,2018-11-01 20:36:55
499,zDPNKZQXJ,smoked Irishmen,A 19th century term for a black person (intended to insult both black people and Irish).,,True,,,eng,smoked Irishman,,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:55,2018-11-01 20:36:55
500,fUZ2mECpt,snouts,Offensive term used in Northern Ireland to describe Protestants of British descent living in Northern Ireland.,"Facial projection, particularly of a dog",False,,,eng,snout,,,True,False,True,False,False,False,False,0,0,0,2018-11-01 20:36:55,2018-11-01 20:36:55
501,UFd7Whsvy,slopes,"A person of Asian descent, particularly Vietnamese or Chinese.",Inclination,False,,75.0,eng,slope,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:54,2018-11-01 20:36:54
502,HGrYfyWiz,slopies,"A person of Asian descent, particularly Vietnamese or Chinese.",,False,,,eng,slopey,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:54,2018-11-01 20:36:54
503,JtvvhAuGH,smicks,"In Ireland, a disreputable, working class or delinquent person",,False,,,eng,smick,,,True,True,False,False,False,False,True,107,42,0,2018-11-01 20:36:54,2018-11-01 20:36:54
504,sXPCcNWnk,slants,"A person of Asian origin (Chinese, Japanese, Korean, Vietnamese etc.) Derived from the term for those who have epicanthic folds.",Angle or slope,False,,,eng,slant,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:53,2018-11-01 20:36:53
505,qh8TV7fLU,slaves,"An unpaid servant, generally recognized as property rather than as a human being. May specifically refer to a person of African origin.",,False,,100.0,eng,slave,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:53,2018-11-01 20:36:53
506,kMCWNFJXM,slits,A person of Asian descent.,A narrow opening,False,,,eng,slit,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:53,2018-11-01 20:36:53
507,CjTxxNae8,slopeheads,"A person of Asian descent, particularly Vietnamese or Chinese.",,False,,,eng,slopehead,,,False,True,False,False,False,False,False,13,10,0,2018-11-01 20:36:53,2018-11-01 20:36:53
508,svXVUZbhw,Skippies,"A white Australian, alluding to Skippy the Bush Kangaroo, a once-popular Australian television show for children.",,False,,,eng,Skippy,,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:52,2018-11-01 20:36:52
509,VHazTCKTQ,Skips,"A white Australian, alluding to Skippy the Bush Kangaroo, a once-popular Australian television show for children.",[1] Avoid [2] A form of walking [3] A boat,False,,,eng,Skip,,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:52,2018-11-01 20:36:52
510,pVGfoJcrT,slant eyes,"A person of Asian origin (Chinese, Japanese, Korean, Vietnamese etc.) Derived from the term for those who have epicanthic folds.",,True,,100.0,eng,slant eye,,,False,True,False,False,False,False,False,293,250,0,2018-11-01 20:36:52,2018-11-01 20:36:52
511,ntnTtkfis,sideways vaginas,"An Asian woman, particularly of Chinese descent.",,True,,100.0,eng,sideways vagina,,,True,True,False,False,False,False,False,67,34,1,2018-11-01 20:36:51,2018-11-01 20:36:51
512,MVVwJDTNN,skags,A woman of loose morals,Slang for heroin,False,,50.0,eng,skag,,,False,False,False,True,False,False,True,0,0,0,2018-11-01 20:36:51,2018-11-01 20:36:51
513,qPAuoMqW4,skangers,"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",,False,,,eng,skanger,,,False,False,False,False,False,False,True,66,41,0,2018-11-01 20:36:51,2018-11-01 20:36:51
514,mg8xjZd4y,skinnie,Alternative spelling for 'skinny',,False,,88.0,eng,,skinny,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:51,2018-11-01 20:36:51
515,n2FdGX4He,skinnies,"A Somali, especially a militia fighter.",Thin,False,,,eng,skinny,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:36:51,2018-11-01 20:36:51
516,KLMyqqVaT,shit kickers,"A rural person, from farmers or country boys walking through manure-filled cow pastures.",,False,,,eng,shit kicker,,,False,False,False,False,False,False,True,0,0,0,2018-11-01 20:36:50,2018-11-01 20:36:50
517,AxthmQzrx,sideways cooters,"An Asian woman, particularly of Chinese descent.",,True,,,eng,sideways cooter,,,True,True,False,False,False,False,False,1,0,0,2018-11-01 20:36:50,2018-11-01 20:36:50
518,VoKTKJMXA,sideways pussies,"An Asian woman, particularly of Chinese descent.",,True,,88.0,eng,sideways pussy,,,True,True,False,False,False,False,False,31,16,0,2018-11-01 20:36:50,2018-11-01 20:36:50
519,noHjsEvzu,shiners,"A black person, originating from their working at shoe shine stands on urban streets or in bus and train station terminals.",A black eye,False,,,eng,shiner,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:49,2018-11-01 20:36:49
520,jdtyLTigb,shines,"A black person, originating from their working at shoe shine stands on urban streets or in bus and train station terminals.",Glow,False,,,eng,shine,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:49,2018-11-01 20:36:49
521,BVaPpNmwe,shit heels,A black servant.,,False,,,eng,shit heel,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:49,2018-11-01 20:36:49
522,YfydopHNe,Sheltas,An Irish Traveller.,,False,,,eng,Shelta,,,True,True,False,False,False,False,False,1,1,0,2018-11-01 20:36:49,2018-11-01 20:36:49
523,WHmXNkkyw,shemales,[1] A transexual person. [2] A transgendered person. [3] An allegedly masculine woman.,,True,,,eng,shemale,,,False,False,False,True,True,False,False,115,36,0,2018-11-01 20:36:49,2018-11-01 20:36:49
524,dKqHcPUkR,sheboons,Combination of 'she' and 'baboon' to indicate a black woman,,True,,,eng,sheboon,,,False,True,False,False,False,False,False,434,279,0,2018-11-01 20:36:48,2018-11-01 20:36:48
525,wZexgibhh,sheenies,A 19th-century derogatory term for an 'untrustworthy Jew.',,True,,,eng,sheeny,,,False,True,False,False,False,False,False,122,20,0,2018-11-01 20:36:48,2018-11-01 20:36:48
526,zyFCwtvHx,sheepfuckers,"A person of Scottish or Welsh descent, from an alleged predilection for having sex with sheep due to the scarcity of people in these regions.",,False,,,eng,sheepfucker,,,True,False,False,False,False,False,False,38,20,0,2018-11-01 20:36:48,2018-11-01 20:36:48
527,mzyurebuz,sengas,"In Scotland, an unsophisticated or lower class female",,False,,,eng,senga,,,False,False,False,False,False,False,True,42,36,0,2018-11-01 20:36:47,2018-11-01 20:36:47
528,WV3ZBjYLD,seppos,An American. (Cockney rhyming slang: Septic tank - Yank),,False,,,eng,seppo,,,True,False,False,False,False,False,False,327,211,0,2018-11-01 20:36:47,2018-11-01 20:36:47
529,RMPXDCEWT,septics,An American. (Cockney rhyming slang: Septic tank - Yank),Relating to sewage,False,,,eng,septic,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:36:47,2018-11-01 20:36:47
530,bUaCugJCC,shades,"A black person, or one attempting to be perceived as black.","Shelter, particularly from the sun",False,,,eng,shade,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:47,2018-11-01 20:36:47
531,rxErpzugs,shants,"A disenfranchised Irish peson, from 'shanty'.",,False,,49.0,eng,shant,,,True,False,False,False,False,False,True,46,19,0,2018-11-01 20:36:47,2018-11-01 20:36:47
532,L4h7wbmfs,scobes,"In Ireland, a disreputable, working class or delinquent person",,False,,,eng,scobe,,,False,False,False,False,False,False,True,48,23,0,2018-11-01 20:36:46,2018-11-01 20:36:46
533,reyde4vMd,scuffers,"In the UK, [1] an uneducated or lower class person, or [2] a policeman.",,False,,,eng,scuffer,,,False,False,False,False,False,False,True,0,0,0,2018-11-01 20:36:46,2018-11-01 20:36:46
534,6eCRAEAMB,semiholes,"A Native American, from the Seminole tribe.",,False,,,eng,semihole,,,False,True,False,False,False,False,False,3,2,0,2018-11-01 20:36:46,2018-11-01 20:36:46
535,GPmiCwMVa,sawnies,"A Scottish person, local variant of Sandy, short for 'Alasdair'.",,False,,,eng,sawney,,,True,False,False,False,False,False,False,1,0,0,2018-11-01 20:36:43,2018-11-01 20:36:43
536,TZriKbYqs,scags,A woman of loose morals,,False,,,eng,scag,,,False,False,False,True,False,False,True,131,60,0,2018-11-01 20:36:43,2018-11-01 20:36:43
537,ofwBMqnk4,scallies,"A disreputable and/or working class person, from 'scallywag'",,False,,,eng,scallie,,,False,False,False,False,False,False,True,230,112,0,2018-11-01 20:36:43,2018-11-01 20:36:43
538,X46YtrCyq,scangers,"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",,False,,,eng,scanger,,,False,False,False,False,False,False,True,12,8,0,2018-11-01 20:36:43,2018-11-01 20:36:43
539,UkBn7KrLH,sand nips,A person from the South Pacific,,True,,,eng,sand nip,,,False,True,False,False,False,False,False,1,0,0,2018-11-01 20:36:42,2018-11-01 20:36:42
540,983CNmHJi,sand niggerette,A person of Middle Eastern descent,,True,,100.0,eng,,sand nigger,,False,True,False,True,False,False,False,1,0,0,2018-11-01 20:36:41,2018-11-01 20:36:41
541,fHpddUbqJ,sand niggerettes,A person of Middle Eastern descent,,True,,,eng,sand niggerette,,,False,True,False,True,False,False,False,0,0,0,2018-11-01 20:36:41,2018-11-01 20:36:41
542,UhzaHDECb,sand niggers,"Derogatory term for a person from the Middle East, Arab, South Asian world",,True,,,eng,sand nigger,,,True,True,False,False,False,False,False,478,201,0,2018-11-01 20:36:41,2018-11-01 20:36:41
543,gssRZMVqJ,Russellites,"A Jehovah's Witness, from American religious leader Charles Taze Russell.",,False,,,eng,Russellite ,,,False,False,True,False,False,False,False,1,0,0,2018-11-01 20:36:40,2018-11-01 20:36:40
544,KffteAtys,sambos,A black person.,,True,,,eng,sambo,,,False,True,False,False,False,False,False,1043,500,0,2018-11-01 20:36:40,2018-11-01 20:36:40
545,iMunK8cfz,sand monkey,Variant of 'sand nigger' in relation to inhabitants of desert regions or Arabs / Muslims in general,,True,,84.0,eng,,sand nigger,,False,True,True,False,False,False,False,373,333,0,2018-11-01 20:36:40,2018-11-01 20:36:40
546,GkfnBnw4s,sand monkeys,Variant of 'sand nigger' in relation to inhabitants of desert regions or Arabs / Muslims in general,,True,,,eng,sand monkey,,,False,True,True,False,False,False,False,474,266,0,2018-11-01 20:36:40,2018-11-01 20:36:40
547,TVZEjy7LJ,rice niggers,An Asian person,,True,,,eng,rice nigger,,,False,True,False,False,False,False,False,13,8,0,2018-11-01 20:36:39,2018-11-01 20:36:39
548,QHAPjLNVA,ricepickers,Meant to denigrate East Asians,,False,,,eng,ricepicker,,,True,True,False,False,False,False,False,2,2,0,2018-11-01 20:36:39,2018-11-01 20:36:39
549,CoAXRzeHF,roofuckers,"Literally, kangaroo-fucker, an Australian iteration on 'sheepfucker'.",,True,,100.0,eng,roofucker,,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:39,2018-11-01 20:36:39
550,zVgeFNAHL,roundeyes,A white or non-Asian person.,,True,,,eng,roundeye,,,False,True,False,False,False,False,False,77,49,0,2018-11-01 20:36:39,2018-11-01 20:36:39
551,mDXAqLhcg,Rhine monkeys,A person of German descent.,,True,,48.0,eng,Rhine monkey,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:36:38,2018-11-01 20:36:38
552,rrhbJnwap,Rhineland bastard,Afro-Germans whose parents were allegedly French soldiers,,True,,89.0,eng,,Rhine monkey,,False,True,False,False,False,False,False,1,0,0,2018-11-01 20:36:38,2018-11-01 20:36:38
553,oreiumtuy,Rhineland bastards,Afro-Germans whose parents were allegedly French soldiers,,True,,100.0,eng,Rhineland bastard,,,False,True,False,False,False,False,False,56,18,0,2018-11-01 20:36:38,2018-11-01 20:36:38
554,EAQkLgarE,red niggers,A Native American person,,True,,100.0,eng,red nigger,,,False,True,False,False,False,False,False,5,2,0,2018-11-01 20:36:37,2018-11-01 20:36:37
555,jwhvUHvrx,rednecks,Southern laborer-class whites.,,True,,50.0,eng,redneck,,,False,False,False,False,False,False,True,1630,702,0,2018-11-01 20:36:37,2018-11-01 20:36:37
556,AsnAvzUMH,redskins,A Native American.,,False,,100.0,eng,redskin,,,False,True,False,False,False,False,False,32,20,0,2018-11-01 20:36:37,2018-11-01 20:36:37
557,FFAVoXyAZ,retardeds,"A disabled person, from 'retarded'.",,True,,,eng,retarded,,,False,False,False,False,False,True,False,608,334,0,2018-11-01 20:36:37,2018-11-01 20:36:37
558,4UfKdVNHu,retards,"A disabled person, from 'retarded'.",To lessen speed,True,,51.0,eng,retard,,,False,False,False,False,False,True,False,1239,548,0,2018-11-01 20:36:37,2018-11-01 20:36:37
559,mXCYFpPtr,race traitors,Term used by white supremacists to denote a person of mixed race.,,True,,75.0,eng,race traitor,,,False,True,False,False,False,False,False,543,265,0,2018-11-01 20:36:36,2018-11-01 20:36:36
560,tNVFoPbxr,ragheads,"An Arab, Indian Sikh or other individual of Middle Eastern or South Asian descent wearing traditional headdress such as turbans or keffiyehs. Sometimes used generically for all Islamic nations.",,True,,,eng,raghead,,,False,True,False,False,False,False,False,1403,594,0,2018-11-01 20:36:36,2018-11-01 20:36:36
561,vaJQYqmkR,red bones,[1] A black female with light skin. [2] A black female of mixed heritage.,,False,,63.0,eng,red bone,,,False,True,False,False,False,False,False,55,31,0,2018-11-01 20:36:36,2018-11-01 20:36:36
562,XdbsKZvHm,quadroons,"A person who is 1/4 Black. Coined during the Civil War, referring to how White you had to be in order to serve in the army.",,True,,75.0,eng,quadroon,,,False,True,False,False,False,False,False,627,390,0,2018-11-01 20:36:35,2018-11-01 20:36:35
563,knrsqW9sp,quashies,"A black person. From the West African name Kwazi, often given to a child born on a Sunday.",,False,,,eng,quashie,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:35,2018-11-01 20:36:35
564,N8qPbtxQU,queens,A homosexual.,Monarch,False,,65.0,eng,queen,,,False,False,False,False,True,False,False,0,0,0,2018-11-01 20:36:35,2018-11-01 20:36:35
565,PqqtwfYab,queers,A homosexual.,Unusual,False,,,eng,queer,,,False,False,False,False,True,False,False,356,157,0,2018-11-01 20:36:35,2018-11-01 20:36:35
566,kiqy2nqWV,proddy dogs,"A Protestant, particularly a rival kid from a Protestant school. 'Proddywhoddy' and 'proddywoddy' are used in children's school rhymes in Cork",,True,,,eng,proddy dog,,,False,False,True,False,False,False,False,37,8,0,2018-11-01 20:36:34,2018-11-01 20:36:34
567,TGmkoWJUG,proddywhoddies,"A Protestant, particularly a rival kid from a Protestant school. 'Proddywhoddy' and 'proddywoddy' are used in children's school rhymes in Cork",,True,,,eng,proddywhoddy,,,False,False,True,False,False,False,False,0,0,0,2018-11-01 20:36:34,2018-11-01 20:36:34
568,M4dXFdwgo,proddywoddies,"A Protestant, particularly a rival kid from a Protestant school. 'Proddywhoddy' and 'proddywoddy' are used in children's school rhymes in Cork",,True,,75.0,eng,proddywoddy,,,False,False,True,False,False,False,False,1,0,0,2018-11-01 20:36:34,2018-11-01 20:36:34
569,ormYFGwUq,prods,"A Protestant, particularly a rival kid from a Protestant school. 'Proddywhoddy' and 'proddywoddy' are used in children's school rhymes in Cork",[1] Encourage [2] Propel,False,,,eng,prod,,,False,False,True,False,False,False,False,0,0,0,2018-11-01 20:36:34,2018-11-01 20:36:34
570,TGWpCEWP2,pussies,"[1] Pejorative word for female. [2] Pejorative word for male, meaning meek or cowardly.",Cat,False,,50.0,eng,pussy,,,False,False,False,True,False,False,False,0,0,0,2018-11-01 20:36:34,2018-11-01 20:36:34
571,RCXciZTPB,prairie niggers,A Native American.,,True,,100.0,eng,prairie nigger,,,False,True,False,False,False,False,False,4,3,0,2018-11-01 20:36:33,2018-11-01 20:36:33
572,QjwuzFGyB,poms,"A British (usually English) immigrant. Some claim it derives from 'Prisoner of Mother England' or 'Prisoner of Her Majesty', but it probably derives from pomegranate, rhyming slang for 'immigrant'. It is often used irreverently and is usually considered offensive. Many such migrants to Australia, such as Prime Minister Julia Gillard, call themselves 'ten pound poms', because they paid ten pounds for their passage to Australia between 1945 and 1972 under an assisted migration scheme. Often combined with an adjective, particularly whingeing pom, a reference to migrants who complained about their adopted country. Often used in a sporting (especially cricket and rugby) context, with liberal use of 'pom' and 'Aussie' being used by the media; the term is often seen as unoffensive in this context, and instead as light-hearted banter by those who use it, but still possibly as offensive by those whom it is directed at.",,False,,,eng,pom,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:36:32,2018-11-01 20:36:32
573,W4UAMLxTX,popolos,Used in Hawaii to denote a black person.,,False,,,eng,popolo,,,False,True,False,False,False,False,False,9,2,0,2018-11-01 20:36:32,2018-11-01 20:36:32
574,evirjmjbt,poppadoms,Used as a derogatory term directed towards South Asians (and sometimes Middle Eastern people).,,False,,,eng,poppadom,,,False,True,False,False,False,False,False,191,94,0,2018-11-01 20:36:32,2018-11-01 20:36:32
575,orsPoFXVf,porch monkeys,A black person referring to perceived common behavior of groups hanging out on front porches or steps of urban apartment complexes in US cities.,,True,,100.0,eng,porch monkey,,,False,True,False,False,False,False,False,1307,708,0,2018-11-01 20:36:32,2018-11-01 20:36:32
576,aXJWLzJZy,powderburns,A black person.,Residue left by the discharge of a firearm,False,,,eng,powderburn,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:32,2018-11-01 20:36:32
577,FFwomYhqT,polacks,"A Pole or a person of Polish or Slavic origin, from the Polish endonym, Polak (see Name of Poland).",,True,,,eng,polack,,,True,False,False,False,False,False,False,535,292,0,2018-11-01 20:36:31,2018-11-01 20:36:31
578,utkjasRaD,pollos,"[1] A person of Hispanic descent, from the Spanish word for 'chicken'. [2] An illegal alien, particularly one of Hispanic descent.",,False,,,eng,pollo,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:31,2018-11-01 20:36:31
579,VTFeLZT u,pommie grants,"A British (usually English) immigrant. Some claim it derives from 'Prisoner of Mother England' or 'Prisoner of Her Majesty', but it probably derives from pomegranate, rhyming slang for 'immigrant'. It is often used irreverently and is usually considered offensive. Many such migrants to Australia, such as Prime Minister Julia Gillard, call themselves 'ten pound poms', because they paid ten pounds for their passage to Australia between 1945 and 1972 under an assisted migration scheme. Often combined with an adjective, particularly whingeing pom, a reference to migrants who complained about their adopted country. Often used in a sporting (especially cricket and rugby) context, with liberal use of 'pom' and 'Aussie' being used by the media; the term is often seen as unoffensive in this context, and instead as light-hearted banter by those who use it, but still possibly as offensive by those whom it is directed at.",,True,,,eng,pommie grant,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:36:31,2018-11-01 20:36:31
580,oVsJuvkUe,pommies,"A British (usually English) immigrant. Some claim it derives from 'Prisoner of Mother England' or 'Prisoner of Her Majesty', but it probably derives from pomegranate, rhyming slang for 'immigrant'. It is often used irreverently and is usually considered offensive. Many such migrants to Australia, such as Prime Minister Julia Gillard, call themselves 'ten pound poms', because they paid ten pounds for their passage to Australia between 1945 and 1972 under an assisted migration scheme. Often combined with an adjective, particularly whingeing pom, a reference to migrants who complained about their adopted country. Often used in a sporting (especially cricket and rugby) context, with liberal use of 'pom' and 'Aussie' being used by the media; the term is often seen as unoffensive in this context, and instead as light-hearted banter by those who use it, but still possibly as offensive by those whom it is directed at.",,False,,,eng,pommie,,,True,False,False,False,False,False,False,270,140,0,2018-11-01 20:36:31,2018-11-01 20:36:31
